team,matchup_id,friend,seed,round,overall,r1,r2,r3,r4,r5,r6
Houston,11112s,Defran,1,5,40,21,20,18,15,11,6
North Carolina,11111w,Defran,1,6,41,21,20,18,15,11,6
Purdue,11112m,Tris,1,6,43,21,20,18,15,11,6
UConn,11111e,Tris,1,5,38,21,20,18,15,11,6
Arizona,84211w,Tris,2,2,11,42,40,36,30,22,12
Iowa St.,84211e,Seen,2,3,18,42,40,36,30,22,12
Marquette,42112s,Lynch,2,2,13,42,40,36,30,22,12
Tennessee,42112m,Defran,2,3,24,42,40,36,30,22,12
Baylor,63211w,Wisbach,3,1,5,63,60,54,45,33,18
Creighton,32112m,Alex,3,1,3,63,60,54,45,33,18
Illinois,63211e,Defran,3,1,8,63,60,54,45,33,18
Kentucky,32112s,McWelch,3,1,1,63,60,54,45,33,18
Alabama,42111w,Gary,4,1,7,84,80,72,60,44,24
Auburn,42111e,Seen,4,1,2,84,80,72,60,44,24
Duke,21112s,Tris,4,1,6,84,80,72,60,44,24
Kansas,21112m,Tris,4,4,27,84,80,72,60,44,24
Gonzaga,21112m,Defran,5,2,9,105,100,90,75,55,30
Saint Mary's (CA),32111w,Wisbach,5,2,12,105,100,90,75,55,30
San Diego St.,32111e,McWelch,5,6,48,105,100,90,75,55,30
Wisconsin,21112s,Defran,5,4,25,105,100,90,75,55,30
BYU,53211e,Lynch,6,1,4,126,120,108,90,66,36
Clemson,53211w,Alex,6,5,35,126,120,108,90,66,36
South Carolina,32112m,Seen,6,5,34,126,120,108,90,66,36
Texas Tech,32112s,McWelch,6,4,32,126,120,108,90,66,36
Dayton,74211w,Gary,7,6,42,147,140,126,105,77,42
Florida,42112s,Alex,7,3,19,147,140,126,105,77,42
Texas,42112m,Seen,7,4,31,147,140,126,105,77,42
Washington St.,74211e,Wisbach,7,5,37,147,140,126,105,77,42
Fla. Atlantic,21111e,Lynch,8,5,36,168,160,144,120,88,48
Mississippi St.,21111w,Tris,8,3,22,168,160,144,120,88,48
Nebraska,11112s,Alex,8,4,30,168,160,144,120,88,48
Utah St.,11112m,McWelch,8,7,49,168,160,144,120,88,48
Michigan St.,21111w,Wisbach,9,3,21,189,180,162,135,99,54
Northwestern,21111e,Gary,9,5,39,189,180,162,135,99,54
TCU,11112m,Wisbach,9,4,28,189,180,162,135,99,54
Texas A&M,11112s,Gary,9,4,26,189,180,162,135,99,54
Colorado,42112s,McWelch,10,5,33,210,200,180,150,110,60
Colorado St.,42112m,McWelch,10,2,16,210,200,180,150,110,60
Drake,74211e,Gary,10,3,23,210,200,180,150,110,60
Nevada,74211w,Lynch,10,4,29,210,200,180,150,110,60
Duquesne,53211e,Seen,11,6,47,231,220,198,165,121,66
NC State,32112s,Lynch,11,3,20,231,220,198,165,121,66
New Mexico,53211w,McWelch,11,3,17,231,220,198,165,121,66
Oregon,32112m,Seen,11,2,15,231,220,198,165,121,66
Grand Canyon,32111w,Gary,12,2,10,252,240,216,180,132,72
James Madison,21112s,Alex,12,2,14,252,240,216,180,132,72
McNeese,21112m,Wisbach,12,6,44,252,240,216,180,132,72
UAB,32111e,Lynch,12,7,52,252,240,216,180,132,72
Col. of Charleston,42111w,Wisbach,13,7,53,273,260,234,195,143,78
Samford,21112m,Lynch,13,6,45,273,260,234,195,143,78
Vermont,21112s,Defran,13,7,56,273,260,234,195,143,78
Yale,42111e,Tris,13,7,54,273,260,234,195,143,78
Akron,32112m,Defran,14,8,57,294,280,252,210,154,84
Colgate,63211w,Tris,14,8,59,294,280,252,210,154,84
Morehead St.,63211e,Alex,14,7,51,294,280,252,210,154,84
Oakland,32112s,Gary,14,8,58,294,280,252,210,154,84
Long Beach St.,84211w,Alex,15,6,46,315,300,270,225,165,90
Saint Peter's,42112m,Seen,15,7,50,315,300,270,225,165,90
South Dakota St.,84211e,Gary,15,7,55,315,300,270,225,165,90
Western Ky.,42112s,Wisbach,15,8,60,315,300,270,225,165,90
Grambling,11112m,Alex,16,8,62,336,320,288,240,176,96
Longwood,11112s,Seen,16,8,63,336,320,288,240,176,96
Stetson,11111e,McWelch,16,8,64,336,320,288,240,176,96
Wagner,11111w,Lynch,16,8,61,336,320,288,240,176,96
